DateKey,Date,Year,Month,WEEK_OF_MONTH,Time
1,23/00/2019,2018,11,4,17:16
2,26/00/2019,2018,11,4,10:06
3,14/00/2019,2018,11,2,20:35
4,17/00/2019,2018,11,3,13:54
5,08/00/2019,2018,11,2,20:08
6,08/00/2019,2018,11,2,15:26
7,10/00/2019,2018,11,2,12:56
8,28/00/2019,2018,11,4,19:16
9,23/00/2019,2018,11,4,12:20
10,17/00/2019,2018,11,3,10:37
11,07/00/2019,2018,11,1,10:18
12,09/00/2019,2018,11,2,11:23
13,24/00/2019,2018,11,4,11:45
14,19/00/2019,2018,11,3,16:08
15,03/00/2019,2018,11,1,11:25
16,20/00/2019,2018,11,3,12:24
17,13/00/2019,2018,11,2,19:51
18,14/00/2019,2018,11,2,18:10
19,23/00/2019,2018,11,4,11:22
20,07/00/2019,2018,11,1,17:55
21,28/00/2019,2018,11,4,15:30
22,20/00/2019,2018,11,3,19:44
23,17/00/2019,2018,11,3,15:27
24,12/00/2019,2018,11,2,11:25
25,16/00/2019,2018,11,3,15:42
26,26/00/2019,2018,11,4,16:04
27,09/00/2019,2018,11,2,12:37
28,14/00/2019,2018,11,2,14:41
29,25/00/2019,2018,11,4,14:19
30,26/00/2019,2018,11,4,18:19
31,19/00/2019,2018,11,3,14:08
32,05/00/2019,2018,11,1,16:38
33,15/00/2019,2018,11,3,10:54
34,18/00/2019,2018,11,3,11:29
35,20/00/2019,2018,11,3,19:28
36,15/00/2019,2018,11,3,15:01
37,03/00/2019,2018,11,1,20:31
38,19/00/2019,2018,11,3,12:16
39,08/00/2019,2018,11,2,15:27
40,27/00/2019,2018,11,4,17:36
41,23/00/2019,2018,11,4,20:00
42,19/00/2019,2018,11,3,15:29
43,27/00/2019,2018,11,4,15:08
44,30/00/2019,2018,11,5,19:26
45,16/00/2019,2018,11,3,15:53
46,18/00/2019,2018,11,3,18:43
47,30/00/2019,2018,11,5,14:58
48,20/00/2019,2018,11,3,19:55
49,16/00/2019,2018,11,3,15:10
50,24/00/2019,2018,11,4,16:44
51,15/00/2019,2018,11,3,18:22
52,22/00/2019,2018,11,4,11:52
53,03/00/2019,2018,11,1,17:24
54,06/00/2019,2018,11,1,15:31
55,16/00/2019,2018,11,3,18:04
56,14/00/2019,2018,11,2,14:13
57,27/00/2019,2018,11,4,10:23
58,18/00/2019,2018,11,3,10:11
59,29/00/2019,2018,11,5,15:48
60,26/00/2019,2018,11,4,17:46
61,03/00/2019,2018,11,1,11:46
62,16/00/2019,2018,11,3,12:07
63,24/00/2019,2018,11,4,18:14
64,12/00/2019,2018,11,2,14:45
65,21/00/2019,2018,11,3,11:39
66,04/00/2019,2018,11,1,15:44
67,20/00/2019,2018,11,3,13:06
68,23/00/2019,2018,11,4,20:43
69,16/00/2019,2018,11,3,14:19
70,17/00/2019,2018,11,3,10:01
71,14/00/2019,2018,11,2,19:30
72,30/00/2019,2018,11,5,16:34
73,02/00/2019,2018,11,1,13:10
74,15/00/2019,2018,11,3,17:10
75,01/00/2019,2018,11,1,10:22
76,24/00/2019,2018,11,4,19:57
77,19/00/2019,2018,11,3,19:29
78,23/00/2019,2018,11,4,18:30
79,07/00/2019,2018,11,1,14:27
80,11/00/2019,2018,11,2,13:57
81,12/00/2019,2018,11,2,19:43
82,14/00/2019,2018,11,2,10:11
83,09/00/2019,2018,11,2,13:46
84,27/00/2019,2018,11,4,12:22
85,24/00/2019,2018,11,4,19:20
86,08/00/2019,2018,11,2,12:58
87,08/00/2019,2018,11,2,11:59
88,16/00/2019,2018,11,3,17:59
89,13/00/2019,2018,11,2,12:51
90,15/00/2019,2018,11,3,10:36
91,25/00/2019,2018,11,4,13:38
92,12/00/2019,2018,11,2,19:39
93,04/00/2019,2018,11,1,12:44
94,10/00/2019,2018,11,2,13:56
95,16/00/2019,2018,11,3,14:42
96,29/00/2019,2018,11,5,19:45
97,01/00/2019,2018,11,1,20:26
98,06/00/2019,2018,11,1,19:46
99,19/00/2019,2018,11,3,19:38
100,12/00/2019,2018,11,2,16:18
101,07/00/2019,2018,11,1,12:23
102,27/00/2019,2018,11,4,19:11
103,27/00/2019,2018,11,4,18:57
104,06/00/2019,2018,11,1,11:18
105,02/00/2019,2018,11,1,12:40
106,29/00/2019,2018,11,5,14:06
107,31/00/2019,2018,11,5,20:48
108,21/00/2019,2018,11,3,20:13
109,20/00/2019,2018,11,3,20:37
110,17/00/2019,2018,11,3,17:59
111,28/00/2019,2018,11,4,20:18
112,19/00/2019,2018,11,3,15:52
